time,testpilot
0,0.0
10,0.01259122099845663
20,0.025180445720138524
30,0.037765678204770906
40,0.05034492312502874
50,0.06291618610288617
60,0.07547747402581544
70,0.08802679536278515
80,0.1005621604800079
90,0.1130815819563869
100,0.125583074898612
110,0.13806465725585484
120,0.15052435013401333
130,0.1629601781094557
140,0.1753701695422144
150,0.18775235688857972
160,0.20010477701304455
170,0.2124254714995499
180,0.22471248696198212
190,0.23696387535387278
200,0.24917769427725217
210,0.26135200729060665
220,0.2734848842158924
230,0.2855744014445555
240,0.2976186422425107
250,0.3096156970540306
260,0.32156366380449597
270,0.33346064820196075
280,0.34530476403748256
290,0.35709413348417207
300,0.3688268873949135
310,0.3805011655987083
320,0.3921151171955967
330,0.40366690085010865
340,0.41515468508319875
350,0.42657664856261784
360,0.4379309803916772
370,0.4492158803963565
380,0.4604295594107135
390,0.4715702395605467
400,0.48263615454526954
410,0.4936255499179479
420,0.5045366833634598
430,0.5153678249747305
440,0.5261172575270014
450,0.536783276750087
460,0.5473641915985789
470,0.557858324519953
480,0.5682640117205373
490,0.5785796034292979
500,0.5888034641594024
510,0.5989339729675187
520,0.6089695237108067
530,0.6189085253015658
540,0.6287494019594928
550,0.6384905934615152
560,0.6481305553891561
570,0.6576677593733951
580,0.667100693336983
590,0.6764278617341749
600,0.6856477857878411
610,0.6947590037239207
620,0.7037600710031781
630,0.7126495605502279
640,0.721426062979791
650,0.7300881868201455
660,0.738634558733738
670,0.7470638237349191
680,0.7553746454047702
690,0.7635657061029862
700,0.7716357071767809
710,0.7795833691667818
720,0.7874074320098828
730,0.7951066552390202
740,0.8026798181798434
750,0.8101257201442467
760,0.8174431806207323
770,0.8246310394615751
780,0.831688157066758
790,0.8386134145646503
800,0.8454057139893991
810,0.8520639784550065
820,0.858587152326065
830,0.8649742013851225
840,0.8712241129966533
850,0.8773358962676061
860,0.8833085822045057
870,0.8891412238670814
880,0.8948328965184003
890,0.9003826977714798
900,0.905789747732357
910,0.9110531891395905
920,0.9161721875001767
930,0.9211459312218527
940,0.925973631741772
950,0.9306545236515262
960,0.935187864818497
970,0.9395729365035184
980,0.9438090434748282
990,0.9478955141182945
